time_ns,dec_i_data,dec_o_valid,dec_o_data,int_i_data,interp_o_valid,interp_o_data
5745.0,252,0,63982,255,1,63862
5755.0,252,0,63982,255,1,63888
5765.0,252,0,63982,255,1,63913
5775.0,252,0,63982,255,1,63938
5785.0,252,0,63982,255,1,63963
5795.0,252,0,63982,255,1,63988
5805.0,252,0,63982,255,1,64012
5815.0,251,1,65060,255,1,64035
5825.0,251,0,65060,251,1,64059
5835.0,251,0,65060,251,1,64082
5845.0,251,0,65060,251,1,64105
5855.0,251,0,65060,251,1,64128
5865.0,251,0,65060,251,1,64150
5875.0,251,0,65060,251,1,64173
5885.0,251,0,65060,251,1,64195
5895.0,251,0,65060,251,1,64216
5905.0,251,0,65060,251,1,64238
5915.0,250,0,65060,251,1,64259
5925.0,250,0,65060,251,1,64280
5935.0,250,0,65060,251,1,64301
5945.0,250,0,65060,251,1,64321
5955.0,250,0,65060,251,1,64342
5965.0,250,0,65060,251,1,64362
5975.0,250,0,65060,251,1,64381
5985.0,250,0,65060,251,1,64401
5995.0,250,0,65060,251,1,64420
6005.0,250,0,65060,251,1,64439
6015.0,249,0,65060,251,1,64458
6025.0,249,0,65060,251,1,64476
6035.0,249,0,65060,251,1,64495
6045.0,249,0,65060,251,1,64513
6055.0,249,0,65060,251,1,64530
6065.0,249,0,65060,251,1,64548
6075.0,249,0,65060,251,1,64565
6085.0,249,0,65060,251,1,64582
6095.0,248,0,65060,251,1,64599
6105.0,248,0,65060,251,1,64615
6115.0,248,0,65060,251,1,64632
6125.0,248,0,65060,251,1,64648
6135.0,248,0,65060,251,1,64663
6145.0,248,0,65060,251,1,64679
6155.0,248,0,65060,251,1,64694
6165.0,247,0,65060,251,1,64709
6175.0,247,0,65060,251,1,64724
6185.0,247,0,65060,251,1,64738
6195.0,247,0,65060,251,1,64753
6205.0,247,0,65060,251,1,64767
6215.0,247,0,65060,251,1,64780
6225.0,247,0,65060,251,1,64794
6235.0,247,0,65060,251,1,64807
6245.0,246,0,65060,251,1,64820
6255.0,246,0,65060,251,1,64833
6265.0,246,0,65060,251,1,64845
6275.0,246,0,65060,251,1,64858
6285.0,246,0,65060,251,1,64870
6295.0,246,0,65060,251,1,64881
6305.0,245,0,65060,251,1,64893
6315.0,245,0,65060,251,1,64904
6325.0,245,0,65060,251,1,64915
6335.0,245,0,65060,251,1,64926
6345.0,245,0,65060,251,1,64936
6355.0,245,0,65060,251,1,64947
6365.0,245,0,65060,251,1,64957
6375.0,244,0,65060,251,1,64966
